"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
5,848130833E-1;-3,953604000E-3;-1,841498343E-2;8,443964124E-3;2,064081223E-2
5,948700834E-1;-1,798490245E-2;-1,207413487E-2;2,604349852E-3;2,181797624E-2
6,049280834E-1;-9,140294418E-4;3,595306724E-4;1,607574999E-2;1,610572724E-2
6,149850833E-1;-6,664427994E-3;-9,290677495E-4;1,487999439E-2;1,633070729E-2
6,250420834E-1;5,317969546E-3;-4,510176703E-3;2,505824268E-2;2,601034448E-2
6,350990834E-1;5,795732746E-3;-1,453615984E-2;1,517820239E-2;2,180064881E-2
6,451570833E-1;7,479228359E-3;7,088405946E-2;1,554189920E-3;7,129448961E-2
6,552140834E-1;9,384799395E-3;1,598373821E1;-4,247592866E-1;1,598938384E1
6,652710834E-1;-2,773656346E-1;1,746241251E1;-5,359774214E-1;1,747283761E1
6,753290833E-1;-5,347371904E-2;1,603631052E0;-3,137323558E-2;1,604829047E0
6,853860834E-1;1,164269441E-1;9,337170169E-2;-2,599496663E-2;1,514900864E-1
6,954430834E-1;-1,233215514E-1;-2,417579112E0;1,057457256E-1;2,423030980E0
7,055000833E-1;7,750027534E-3;-2,455018688E0;1,262519109E-1;2,458275080E0
7,155580834E-1;4,149253663E-2;-2,108008659E0;3,299934626E-2;2,108675198E0
7,256150834E-1;4,945693770E-2;-2,224941862E0;9,362678647E-2;2,227460045E0
7,356720833E-1;1,389216213E-2;-2,430436994E0;5,576080263E-2;2,431116254E0
7,457290834E-1;-1,668233466E-2;-2,405240757E0;3,974001646E-2;2,405626876E0
7,557870834E-1;2,352301966E-2;-2,443639568E0;1,211788666E-1;2,446755400E0
7,658440833E-1;3,186424455E-1;-2,341807238E0;6,789143622E-2;2,364361096E0
7,759010834E-1;2,175021697E-2;-2,350590779E0;1,538180244E-1;2,355718588E0
7,859580833E-1;-7,254068529E-2;-2,411035201E0;4,605851769E-2;2,412565912E0
7,960160833E-1;-9,370437171E-4;-2,431599566E0;6,971635222E-2;2,432598960E0
8,060730834E-1;-6,956055134E-2;-2,465324406E0;6,747452974E-2;2,467228386E0
8,161300833E-1;-1,646553087E-2;-2,317036678E0;7,031744599E-2;2,318161906E0
8,261880833E-1;-5,758646781E-2;-2,270807275E0;8,753164887E-2;2,273223190E0
8,362450834E-1;4,256739191E-2;-1,865053194E0;8,319184542E-2;1,867392910E0
8,463020833E-1;-3,074822305E-3;3,059747452E-2;1,164122164E-2;3,288127158E-2
8,563590834E-1;-2,019520478E-2;3,833854850E-2;1,688208103E-2;4,650478747E-2
8,664170834E-1;-3,437779080E-3;-4,404709378E-2;1,344099462E-2;4,618035440E-2
8,764740833E-1;1,238055638E-2;1,375053160E-2;2,966877222E-3;1,873920105E-2
8,865310834E-1;4,108217172E-4;-3,819419537E-3;1,718847513E-2;1,761250742E-2
8,965880834E-1;-1,755164204E-2;-3,764839433E-3;1,808543801E-2;2,548170368E-2
9,066460833E-1;-6,442891611E-3;-5,672566630E-3;1,479053199E-2;1,710113157E-2
9,167030834E-1;-2,869575899E-3;-2,560440917E-3;1,045072854E-2;1,113589020E-2
9,267600834E-1;8,900704756E-3;1,074096970E-2;9,254388213E-3;1,674021136E-2
9,368180833E-1;1,606305971E-2;-2,319042273E-3;1,254461646E-2;2,051261189E-2
9,468750834E-1;-1,229064630E-2;-5,786751788E-3;1,374388039E-2;1,932461464E-2
9,569320834E-1;-6,895347331E-3;-5,676129777E-3;1,644061625E-2;1,870984037E-2
9,669890833E-1;-1,135376704E-2;-4,304573983E-3;1,434438944E-2;1,879358645E-2
9,770470834E-1;-1,508696755E-2;4,576085787E-3;1,404325783E-2;2,111327169E-2
9,871040834E-1;5,078389021E-3;5,047736820E-3;1,419294655E-2;1,589683660E-2
9,971610833E-1;3,519018833E-4;-1,643131552E-2;8,507698774E-3;1,850656379E-2
1,007218083E0;-3,269635085E-3;-5,340097602E-3;1,778839946E-2;1,885826904E-2
1,017276083E0;-4,887029752E-3;-2,553698346E-3;2,512431622E-2;2,572228023E-2
1,027333083E0;1,999482801E-3;-3,580378052E-3;1,808836162E-2;1,854739509E-2
1,037390083E0;-7,746080663E-3;-3,665820491E-3;2,048162699E-2;2,220218569E-2
1,047448083E0;-1,138265594E-2;5,227575246E-3;1,300011456E-2;1,805257261E-2
1,057505083E0;6,113720778E-4;1,042611541E-2;-3,464475274E-3;1,100364700E-2
1,067562083E0;1,320576296E-2;-1,109969638E-2;6,114433408E-3;1,830250614E-2
1,077619083E0;3,935916172E-3;-1,078076731E-2;8,658556938E-3;1,437661254E-2
1,087677083E0;4,548174469E-3;-7,705058791E-3;1,494723737E-2;1,742049732E-2
1,097734083E0;-1,517114919E-3;-9,673670121E-3;9,560197592E-3;1,368498846E-2
1,107791083E0;-7,179366695E-3;-1,129581565E-2;1,285218000E-2;1,855578854E-2
